,-2.27,4.24,0.01,0.11,-0.83
333767,9.28,-2.00,2.42,-0.01,0.07,-0.09
333780,9.24,-1.70,3.44,-0.07,-0.03,-0.12
333793,9.95,-1.86,1.82,-0.15,-0.09,-0.12
333806,9.57,-1.54,2.33,-0.08,-0.05,-0.13
333819,9.52,-1.67,2.40,-0.12,-0.17,-0.10
333832,9.13,-1.12,2.52,-0.06,-0.10,-0.04
333845,9.10,-1.34,2.29,-0.15,-0.09,0.00
333858,8.11,-2.63,2.98,-0.12,0.16,0.02
333871,10.41,-2.24,1.79,-0.16,0.19,-0.09
333884,9.15,-2.35,1.76,0.03,0.30,-0.11
333897,9.77,-2.07,3.18,0.13,0.33,-0.15
333910,9.67,-0.63,2.99,0.18,0.23,-0.14
333923,9.11,-1.37,3.27,0.10,0.14,-0.13
333936,10.51,-1.77,2.77,-0.13,-0.03,-0.12
333949,9.33,-1.77,2.77,-0.14,-0.02,-0.10
333962,8.21,-2.16,3.10,-0.12,0.01,-0.10
333975,9.51,-1.09,2.37,-0.04,0.01,-0.05
333988,8.86,-1.72,3.50,-0.03,0.13,-0.04
334001,9.11,-0.73,2.70,-0.06,0.10,-0.04
334014,9.18,-0.83,1.80,-0.09,0.04,0.00
334027,9.09,-2.40,3.17,-0.20,0.04,0.11
334040,9.53,-1.46,2.53,-0.25,0.01,0.04
334053,9.40,-1.97,3.00,-0.18,0.04,0.03
334066,10.03,-1.37,2.32,-0.18,-0.07,0.02
334079,9.07,-1.28,2.60,-0.20,-0.05,0.03
334092,9.22,-1.75,3.16,-0.19,-0.09,0.03
334105,10.30,-1.29,2.40,0.01,-0.01,0.02
334118,8.57,-1.95,3.32,-0.03,0.01,0.01
334131,9.18,-1.87,3.11,-0.07,-0.04,-0.01
334144,8.26,-3.57,6.82,0.04,0.03,0.03
