,8.79,-5.13,3.20,0.17,0.05,0.08
115430,8.59,-2.12,4.23,-0.90,-0.54,0.09
115443,8.60,-2.36,3.89,-1.08,-0.72,0.15
115456,8.61,-2.50,3.55,-1.37,-0.89,0.20
115469,9.72,-3.77,-0.16,-1.75,-0.88,0.30
115482,10.10,-5.11,-1.41,-1.68,-0.28,0.19
115495,10.06,-3.71,2.09,-0.98,0.17,0.16
115508,6.25,-3.27,3.08,-0.25,0.44,0.01
115521,12.39,-3.51,1.25,0.56,0.71,-0.32
115534,8.98,-3.40,3.30,0.09,0.72,-0.24
115547,8.62,-2.94,4.72,-0.32,0.62,-0.17
115560,8.01,-2.14,3.87,-0.31,0.07,-0.12
115573,9.09,-3.97,0.75,-0.35,-0.15,-0.03
115586,9.54,-3.82,0.62,-0.79,-0.00,-0.08
115599,7.93,-3.45,2.99,-0.83,0.34,-0.21
115612,9.28,-3.00,1.52,0.11,0.48,-0.29
115625,8.88,-2.78,2.93,0.55,0.51,-0.33
115638,9.35,-3.36,1.79,-0.54,0.30,-0.24
115651,8.52,-2.49,3.04,-1.00,0.20,-0.15
115664,8.80,-3.42,1.67,-1.01,0.07,-0.00
115677,8.70,-2.96,1.62,-0.43,-0.13,0.16
115690,9.42,-3.89,1.34,-0.47,-0.09,0.14
115703,9.19,-3.93,1.16,-0.77,0.00,0.11
115716,9.68,-3.91,1.34,-0.75,0.18,-0.03
115729,9.17,-3.60,1.86,-0.47,0.26,-0.07
115742,8.67,-4.24,1.45,-0.30,0.27,-0.06
115755,9.00,-3.90,1.57,-0.49,0.09,-0.03
115768,8.46,-3.36,1.86,-0.51,0.05,-0.03
115781,9.42,-3.63,1.97,-0.46,0.01,-0.02
115794,9.35,-3.58,0.85,-0.48,0.03,-0.09
115807,8.60,-3.60,1.12,-0.46,0.22,-0.14
115820,9.97,-4.08,1.33,-0.48,0.35,-0.24
115833,9.07,-3.84,1.25,-0.37,0.39,-0.32
115846,9.37,-3.69,1.53,-0.28,0.36,-0.38
115859,8.81,-3.51,1.14,-0.16,0.34,-0.36
115872,8.66,-3.69,1.68,-0.24,0.31,-0.32
115885,7.42,-3.12,1.53,-0.46,0.10,-0.20
115898,10.09,-3.83,1.13,-0.47,0.19,-0.19
115911,9.27,-3.93,2.22,-0.36,0.19,-0.12
115924,8.99,-3.85,0.23,-0.16,0.21,-0.12
115937,8.67,-3.85,1.78,-0.09,0.25,-0.09
115950,9.30,-3.77,2.12,-0.23,0.19,-0.13
115963,9.24,-3.17,1.59,-0.27,-0.05,-0.12
115976,9.13,-3.77,0.84,-0.19,-0.04,-0.10
115989,9.36,-3.47,1.28,-0.07,0.07,-0.14
116002,9.52,-3.38,1.32,-0.04,0.10,-0.20
116015,9.46,-3.62,0.58,0.04,0.17,-0.19
116028,8.86,-3.30,1.84,-0.04,0.21,-0.20
116041,8.75,-3.08,1.49,-0.20,-0.01,-0.15
116054,9.18,-3.40,0.67,-0.26,-0.07,-0.10
116067,9.04,-3.60,1.67,-0.26,-0.10,-0.08
116080,9.28,-3.76,0.82,-0.34,-0.17,-0.10
116093,9.22,-3.62,1.10,-0.16,-0.21,-0.09
116106,9.39,-3.50,0.59,-0.15,-0.23,-0.10
116119,9.34,-3.27,0.80,-0.08,-0.18,-0.11
116132,9.35,-3.20,0.83,0.01,-0.05,-0.11
116145,9.28,-2.98,1.04,0.10,0.03,-0.09
116158,9.26,-2.76,1.54,0.15,0.10,-0.07
116171,9.16,-2.51,1.68,0.10,0.17,-0.01
116184,9.19,-2.66,1.57,0.02,0.19,0.03
116197,9.21,-2.88,1.53,0.00,0.22,0.06
116210,9.16,-2.99,1.78,0.13,0.28,0.12
116223,9.08,-2.87,2.01,0.21,0.31,0.14
116236,9.05,-2.74,2.20,0.23,0.31,0.17
