,9.17,-1.74,3.03,-0.04,-0.05,0.07
752543,7.64,-4.00,3.42,0.09,0.37,0.47
752556,9.47,-2.25,3.36,0.30,0.36,0.49
752569,8.75,-3.55,3.15,0.19,0.28,0.53
752582,9.38,-2.84,2.85,0.13,0.22,0.43
752595,9.04,-3.90,2.79,-0.03,0.29,0.39
752608,8.59,-2.79,2.52,-0.04,0.29,0.28
752621,9.06,-3.65,2.23,0.06,0.30,0.31
752634,8.22,-2.17,3.31,0.31,0.40,0.14
752647,8.90,-3.18,2.75,0.50,0.45,0.22
752660,8.75,-2.15,3.24,0.60,0.42,0.22
752673,8.49,-2.45,3.96,0.45,0.34,0.27
752686,9.90,-2.85,3.18,0.28,0.30,0.27
752699,8.93,-2.44,3.29,0.16,0.26,0.16
752712,9.50,-4.01,2.83,0.09,0.25,0.08
752725,8.27,-2.33,2.90,0.12,0.28,0.00
752738,10.43,-4.19,3.40,0.26,0.27,0.07
752751,9.35,-4.48,2.77,0.29,0.20,0.18
752764,8.27,-1.80,2.37,0.39,0.30,0.18
752777,9.54,-3.71,3.36,0.45,0.30,0.33
752790,8.65,-2.91,4.55,0.87,0.26,0.34
752803,9.37,-2.99,3.82,0.65,0.19,0.31
752816,8.08,-2.65,4.24,0.39,0.14,0.26
752829,9.22,-3.61,3.28,0.11,0.06,0.18
752842,8.98,-3.38,3.33,0.29,0.08,0.10
752855,9.41,-3.60,3.04,0.38,0.09,0.06
752868,8.10,-2.43,3.29,0.42,0.14,-0.03
752881,8.84,-3.14,3.28,0.72,0.12,0.18
752894,7.89,-1.62,3.98,0.67,0.15,0.17
752907,8.74,-2.63,4.57,0.75,0.15,0.30
752920,8.41,-2.29,4.30,0.47,-0.02,0.35
752933,9.39,-3.09,4.04,0.36,-0.16,0.41
752946,10.05,-3.45,3.90,0.20,-0.23,0.29
752959,9.09,-3.75,3.33,0.31,-0.16,-0.06
752972,9.29,-3.31,2.78,0.47,-0.10,-0.23
752985,9.20,-2.40,3.55,0.66,-0.04,-0.34
752998,8.85,-1.45,3.74,0.69,-0.13,-0.39
753011,8.78,-1.15,3.89,0.61,-0.22,-0.28
753024,9.10,-0.19,3.70,0.53,-0.33,-0.12
753037,8.81,-0.53,4.33,0.38,-0.62,0.39
753050,8.66,0.25,4.19,0.19,-0.83,0.67
753063,8.82,-1.06,3.30,-0.15,-0.93,0.82
753076,9.29,-2.82,2.66,-0.41,-0.77,0.67
753089,9.94,-3.62,2.33,-0.25,-0.59,0.37
753102,9.52,-2.99,2.83,0.01,-0.41,0.14
753115,8.90,-2.48,3.12,0.14,-0.27,-0.14
753128,9.35,-2.68,3.81,-0.10,-0.25,-0.24
753141,9.06,-1.52,3.20,-0.31,-0.37,-0.30
753154,8.92,-2.12,3.23,-0.43,-0.37,-0.12
753167,8.99,-1.37,2.83,-0.44,-0.39,-0.11
753180,8.91,-1.88,3.21,-0.41,-0.37,-0.04
753193,9.10,-1.58,2.37,-0.52,-0.36,0.00
753206,9.10,-2.84,3.10,-0.47,-0.22,0.13
753219,9.27,-2.54,2.74,-0.51,-0.24,0.03
753232,9.38,-3.35,2.95,-0.48,-0.15,-0.00
753245,9.23,-3.10,2.28,-0.64,-0.10,-0.23
753258,9.29,-3.81,2.88,-0.59,-0.03,-0.31
753271,8.95,-2.52,2.63,-0.59,-0.01,-0.43
753284,8.69,-2.03,2.83,-0.37,0.02,-0.38
753297,8.97,-2.45,2.98,-0.36,-0.02,-0.30
753310,9.30,-1.43,2.71,-0.42,-0.05,-0.31
753323,9.54,-1.66,2.41,-0.51,-0.04,-0.27
753336,8.87,-2.66,3.01,-0.44,0.01,-0.19
753349,8.75,-2.39,3.18,-0.48,-0.06,-0.16
753362,9.22,-2.51,2.56,-0.63,-0.05,-0.13
753375,8.79,-3.28,2.77,-0.72,-0.01,-0.15
753388,9.59,-2.69,1.77,-0.74,-0.03,-0.17
753401,8.91,-3.58,2.58,-0.57,0.12,-0.27
753414,9.35,-3.17,2.61,-0.52,0.12,-0.34
753427,8.70,-3.23,2.66,-0.49,0.13,-0.36
753440,9.24,-2.15,2.61,-0.45,0.14,-0.36
753453,8.89,-2.43,3.07,-0.45,0.14,-0.31
753466,9.06,-2.27,2.96,-0.49,0.11,-0.27
753479,8.92,-3.18,2.19,-0.64,0.14,-0.25
753492,9.06,-2.78,2.12,-0.68,0.35,-0.17
753505,8.92,-3.50,2.41,-0.60,0.42,-0.10
753518,9.06,-2.97,2.89,-0.48,0.43,-0.11
753531,9.19,-3.79,3.39,-0.48,0.31,-0.17
753544,9.03,-3.36,3.25,-0.57,0.24,-0.26
753557,9.53,-3.66,3.07,-0.61,0.22,-0.35
753570,8.74,-3.26,3.22,-0.42,0.11,-0.39
753583,8.88,-3.14,2.75,-0.32,0.09,-0.33
753596,8.90,-2.50,3.17,-0.26,0.05,-0.31
753609,8.97,-2.99,2.77,-0.39,0.01,-0.22
753622,9.05,-2.70,2.79,-0.16,-0.02,-0.12
753635,8.84,-2.18,1.96,-0.31,-0.04,-0.10
753648,8.40,-2.84,3.18,-0.05,0.00,0.06
753661,8.63,-2.93,2.82,-0.15,0.05,0.11
753674,8.54,-2.66,2.70,0.03,-0.01,0.22
753687,8.79,-2.77,3.60,0.04,-0.04,0.39
753700,8.79,-3.10,3.33,-0.01,-0.18,0.45
753713,8.61,-3.36,2.58,-0.09,-0.19,0.49
753726,8.14,-4.95,5.40,-0.11,0.08,0.38
753739,9.08,-3.11,2.18,0.03,-0.16,0.09
753752,6.78,-3.44,4.70,0.32,0.04,-0.01
753765,7.38,-3.22,3.53,0.27,-0.25,0.08
753778,10.16,-3.40,2.87,-0.12,-0.41,0.22
753791,7.81,-2.79,2.29,-0.24,-0.41,0.20
753804,8.67,-3.74,4.13,0.15,-0.35,0.31
753817,10.12,-4.47,1.68,0.26,-0.26,0.39
753830,10.50,-5.56,2.29,0.15,0.24,0.18
753843,6.99,-2.89,6.35,0.40,0.27,-0.05
753856,9.34,-3.69,2.10,0.94,-0.18,0.02
753869,7.70,-3.62,4.05,0.37,-0.25,0.32
753882,9.11,-2.96,3.48,-0.26,-0.46,0.44
753895,6.83,-3.15,2.84,0.42,-0.51,0.53
753908,9.53,-3.26,3.54,0.85,-0.43,0.50
753921,9.17,-4.00,2.68,0.49,-0.43,0.54
753934,8.62,-3.85,2.84,-0.01,-0.34,0.36
753947,10.38,-4.24,1.95,-0.04,-0.24,0.18
753960,8.66,-3.05,2.39,-0.06,-0.09,-0.00
753973,8.29,-3.34,2.60,0.11,-0.02,-0.07
753986,10.02,-4.03,3.75,0.43,-0.01,0.02
753999,7.77,-2.43,1.47,0.50,-0.02,0.03
754012,8.90,-2.52,3.47,0.92,-0.02,0.20
754025,9.42,-2.89,2.66,0.78,-0.02,0.26
754038,8.38,-3.10,3.50,0.69,0.02,0.26
754051,7.80,-2.61,2.79,0.41,-0.04,0.12
754064,10.54,-3.91,2.55,0.28,0.00,0.11
754077,8.84,-2.62,2.89,0.29,0.04,0.06
754090,8.61,-3.35,2.48,0.38,0.04,0.01
754103,11.10,-3.16,5.80,0.51,0.01,-0.16
754116,4.03,3.02,4.04,0.33,-0.22,-0.47
754129,10.75,-6.48,0.65,0.08,-0.03,0.12
754142,8.37,-2.99,3.00,-0.34,0.04,0.18
754155,10.13,-2.44,2.35,0.67,0.16,0.02
754168,9.19,-2.34,3.80,1.31,0.19,-0.02
754181,8.65,-4.38,2.69,-0.02,0.01,0.30
754194,8.97,-3.23,2.93,-0.41,-0.03,0.32
754207,9.06,-3.57,0.45,-0.22,0.16,0.19
754220,8.50,-1.82,3.72,1.33,0.26,0.05
754233,10.59,-3.70,3.02,1.05,0.31,-0.03
754246,7.53,-2.25,3.70,0.33,0.26,-0.05
