3,-4.07,4.56,0.02,-0.05,0.07
589323,7.79,-4.16,4.39,-0.01,-0.05,0.01
589336,7.80,-4.21,4.41,-0.01,-0.03,0.00
589349,7.80,-4.23,4.49,0.02,-0.03,0.00
589362,7.76,-4.21,4.48,0.03,-0.03,-0.00
589375,7.80,-4.25,4.49,0.02,-0.02,-0.01
589388,7.78,-4.28,4.55,0.01,-0.02,-0.02
589401,7.78,-4.37,4.54,0.01,-0.03,-0.03
589414,7.79,-4.35,4.52,0.03,-0.03,-0.04
589427,7.83,-4.18,4.49,0.04,-0.04,-0.07
589440,7.80,-4.16,4.49,0.02,-0.04,-0.07
589453,7.79,-4.13,4.49,0.01,-0.04,-0.08
589466,7.82,-4.20,4.48,0.01,-0.04,-0.09
589479,7.81,-4.25,4.57,0.02,-0.04,-0.09
589492,7.76,-4.19,4.74,0.04,-0.04,-0.10
589505,7.78,-4.02,4.77,0.02,-0.08,-0.11
589518,7.78,-3.87,4.78,-0.01,-0.10,-0.11
589531,7.81,-3.88,4.69,-0.06,-0.12,-0.10
589544,7.86,-4.15,4.44,-0.13,-0.15,-0.09
589557,7.91,-4.24,4.38,-0.13,-0.15,-0.10
589570,7.87,-4.29,4.51,-0.11,-0.15,-0.11
589583,6.66,-4.00,4.29,-0.12,-0.18,-0.16
589596,7.62,-4.50,2.84,-0.05,-0.10,-0.05
589609,7.75,-4.99,4.35,0.11,0.03,0.03
589622,7.86,-3.96,4.66,0.42,0.04,0.04
589635,7.67,-4.35,4.96,0.31,0.03,-0.01
589648,7.19,-4.24,4.57,0.08,-0.04,0.05
589661,7.64,-4.59,4.28,-0.28,-0.17,0.07
589674,7.82,-5.09,4.23,-0.00,-0.14,0.04
589687,8.19,-4.79,4.23,0.22,-0.13,-0.02
589700,7.34,-4.34,4.54,0.39,-0.08,-0.05
589713,7.59,-3.80,4.17,0.21,-0.12,0.05
589726,8.25,-4.25,4.63,0.13,-0.11,0.07
589739,7.49,-4.08,4.46,0.12,-0.12,0.08
589752,7.82,-4.40,4.22,0.10,-0.18,0.08
589765,8.42,-4.86,4.05,0.15,-0.17,0.07
589778,7.09,-4.36,4.49,0.20,-0.15,0.01
589791,7.49,-3.62,4.30,0.28,-0.12,-0.03
589804,7.66,-4.13,4.29,0.23,-0.13,0.02
589817,7.94,-3.44,4.15,0.21,-0.12,0.04
589830,7.81,-3.87,4.13,0.16,-0.10,0.13
589843,7.38,-4.04,4.48,0.18,-0.09,0.15
589856,8.44,-4.17,4.09,0.19,-0.08,0.14
589869,7.67,-4.32,4.60,0.13,-0.07,0.08
589882,8.14,-4.54,3.99,0.20,-0.07,0.07
